pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1.0	1.5	5.608e-01	1.168e-02	4.976e-02	2.141e-02
1.5	2.0	1.053e-01	1.976e-03	9.378e-03	4.319e-03
2.0	2.5	2.205e-02	5.146e-04	1.936e-03	9.614e-04
2.5	3.0	5.528e-03	1.623e-04	4.869e-04	2.522e-04
3.0	3.5	1.626e-03	5.884e-05	1.439e-04	7.684e-05
3.5	4.0	5.336e-04	1.627e-05	4.746e-05	2.658e-05
4.0	4.5	1.832e-04	8.638e-06	1.672e-05	9.259e-06
4.5	5.0	8.786e-05	4.916e-06	8.193e-06	4.576e-06
5.0	5.5	3.647e-05	3.070e-06	3.645e-06	1.833e-06
5.5	6.0	1.898e-05	1.873e-06	1.997e-06	9.808e-07
6.0	6.5	9.740e-06	1.239e-06	1.181e-06	5.120e-07
6.5	7.0	4.407e-06	7.963e-07	6.436e-07	2.186e-07
7.0	7.5	3.341e-06	6.472e-07	7.787e-07	1.671e-07
7.5	8.0	1.476e-06	4.095e-07	4.520e-07	7.382e-08
