pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1.0	1.5	1.293e+00	2.936e-02	1.141e-01	4.973e-02
1.5	2.0	2.569e-01	4.840e-03	2.251e-02	1.066e-02
2.0	2.5	5.157e-02	1.241e-03	4.581e-03	2.265e-03
2.5	3.0	1.253e-02	4.027e-04	1.134e-03	5.721e-04
3.0	3.5	3.542e-03	1.475e-04	3.225e-04	1.665e-04
3.5	4.0	1.131e-03	3.287e-05	1.046e-04	5.636e-05
4.0	4.5	4.270e-04	1.543e-05	3.885e-05	2.203e-05
4.5	5.0	1.721e-04	7.743e-06	1.578e-05	9.157e-06
5.0	5.5	7.812e-05	4.509e-06	7.324e-06	4.239e-06
5.5	6.0	3.407e-05	2.836e-06	3.376e-06	1.808e-06
6.0	6.5	1.425e-05	1.891e-06	1.646e-06	6.689e-07
6.5	7.0	9.546e-06	1.172e-06	1.135e-06	5.444e-07
7.0	7.5	4.625e-06	7.585e-07	6.461e-07	2.604e-07
7.5	8.0	3.016e-06	5.947e-07	4.765e-07	1.669e-07
8.0	8.5	1.620e-06	4.223e-07	4.717e-07	8.101e-08
