pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1.0	1.5	8.824e-01	9.940e-03	7.742e-02	3.416e-02
1.5	2.0	1.698e-01	1.650e-03	1.490e-02	7.103e-03
2.0	2.5	3.497e-02	4.103e-04	3.060e-03	1.560e-03
2.5	3.0	8.222e-03	1.327e-04	7.318e-04	3.840e-04
3.0	3.5	2.219e-03	4.723e-05	1.996e-04	1.076e-04
3.5	4.0	7.308e-04	9.735e-06	6.685e-05	3.686e-05
4.0	4.5	2.631e-04	4.445e-06	2.367e-05	1.381e-05
4.5	5.0	1.071e-04	2.383e-06	9.555e-06	5.805e-06
5.0	5.5	4.585e-05	1.306e-06	4.076e-06	2.557e-06
5.5	6.0	2.024e-05	7.684e-07	1.831e-06	1.147e-06
6.0	6.5	1.039e-05	4.934e-07	9.518e-07	6.017e-07
6.5	7.0	5.523e-06	3.432e-07	5.209e-07	3.172e-07
7.0	7.5	2.954e-06	2.332e-07	2.879e-07	1.699e-07
7.5	8.0	1.850e-06	1.891e-07	1.903e-07	1.013e-07
8.0	8.5	1.126e-06	1.178e-07	1.875e-07	5.631e-08
8.5	9.0	8.303e-07	9.800e-08	1.455e-07	4.151e-08
9.0	9.5	5.181e-07	7.328e-08	9.938e-08	2.590e-08
9.5	10.0	2.831e-07	5.744e-08	6.817e-08	1.416e-08
10.0	10.5	1.976e-07	4.225e-08	4.940e-08	9.877e-09
10.5	11.0	1.581e-07	3.726e-08	4.252e-08	7.904e-09
11.0	11.5	1.091e-07	3.027e-08	3.341e-08	5.455e-09
11.5	12.0	7.509e-08	2.544e-08	2.724e-08	3.755e-09
