pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1.0	1.5	3.183e-02	7.086e-04	3.555e-03	1.230e-03
1.5	2.0	5.587e-03	1.327e-04	6.247e-04	2.234e-04
2.0	2.5	1.250e-03	3.905e-05	1.395e-04	5.098e-05
2.5	3.0	3.192e-04	1.277e-05	3.647e-05	1.338e-05
3.0	3.5	9.161e-05	6.577e-06	1.046e-05	3.780e-06
3.5	4.0	3.496e-05	2.941e-06	4.338e-06	1.494e-06
4.0	4.5	1.069e-05	1.633e-06	1.515e-06	4.340e-07
4.5	5.0	5.584e-06	1.023e-06	8.723e-07	2.255e-07
5.0	5.5	2.698e-06	6.544e-07	7.420e-07	1.349e-07
5.5	6.0	8.582e-07	3.504e-07	3.677e-07	4.291e-08
