pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1.0	1.5	4.908e-02	9.123e-04	4.301e-03	1.917e-03
1.5	2.0	8.649e-03	1.581e-04	7.581e-04	3.676e-04
2.0	2.5	1.896e-03	4.530e-05	1.671e-04	8.580e-05
2.5	3.0	5.016e-04	1.693e-05	4.469e-05	2.372e-05
3.0	3.5	1.577e-04	7.196e-06	1.419e-05	7.701e-06
3.5	4.0	5.268e-05	2.918e-06	4.889e-06	2.675e-06
4.0	4.5	1.916e-05	1.691e-06	1.913e-06	9.438e-07
4.5	5.0	7.632e-06	9.743e-07	8.764e-07	3.475e-07
5.0	5.5	4.171e-06	7.104e-07	5.585e-07	1.716e-07
5.5	6.0	1.548e-06	3.548e-07	4.076e-07	7.740e-08
6.0	6.5	9.173e-07	2.544e-07	2.808e-07	4.586e-08
