pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1.0	1.5	1.050e-01	1.783e-03	9.268e-03	3.987e-03
1.5	2.0	1.940e-02	3.218e-04	1.700e-03	7.905e-04
2.0	2.5	4.355e-03	7.869e-05	3.822e-04	1.883e-04
2.5	3.0	1.081e-03	3.124e-05	9.672e-05	4.861e-05
3.0	3.5	3.398e-04	1.287e-05	3.077e-05	1.578e-05
3.5	4.0	1.141e-04	4.570e-06	1.027e-05	5.551e-06
4.0	4.5	4.588e-05	2.676e-06	4.256e-06	2.257e-06
4.5	5.0	1.629e-05	1.588e-06	1.658e-06	7.535e-07
5.0	5.5	8.148e-06	1.011e-06	9.056e-07	3.645e-07
5.5	6.0	4.370e-06	5.986e-07	5.325e-07	2.130e-07
6.0	6.5	2.093e-06	3.689e-07	3.033e-07	1.048e-07
6.5	7.0	1.100e-06	2.665e-07	1.989e-07	4.694e-08
7.0	7.5	8.522e-07	4.920e-07	9.939e-08	9.423e-08
