pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1.0	1.5	1.857e+00	4.142e-02	1.628e-01	7.140e-02
1.5	2.0	3.431e-01	7.015e-03	3.015e-02	1.430e-02
2.0	2.5	7.330e-02	1.741e-03	6.443e-03	3.252e-03
2.5	3.0	1.729e-02	5.604e-04	1.528e-03	8.002e-04
3.0	3.5	4.548e-03	1.972e-04	4.048e-04	2.161e-04
3.5	4.0	1.548e-03	4.256e-05	1.404e-04	7.812e-05
4.0	4.5	5.564e-04	1.847e-05	5.221e-05	2.877e-05
4.5	5.0	2.085e-04	1.026e-05	1.908e-05	1.104e-05
5.0	5.5	9.868e-05	5.234e-06	9.245e-06	5.462e-06
5.5	6.0	3.695e-05	3.285e-06	3.718e-06	1.955e-06
6.0	6.5	2.027e-05	2.012e-06	2.165e-06	1.085e-06
6.5	7.0	1.104e-05	1.602e-06	1.351e-06	4.890e-07
7.0	7.5	6.646e-06	9.687e-07	8.363e-07	3.515e-07
7.5	8.0	4.230e-06	8.150e-07	6.090e-07	1.689e-07
8.0	8.5	2.119e-06	4.684e-07	5.429e-07	1.060e-07
8.5	9.0	1.983e-06	4.578e-07	5.250e-07	9.911e-08
9.0	9.5	9.904e-07	2.989e-07	3.253e-07	4.950e-08
