pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1.0	1.5	8.622e-01	2.061e-02	7.664e-02	3.291e-02
1.5	2.0	1.646e-01	3.454e-03	1.444e-02	6.757e-03
2.0	2.5	3.537e-02	8.481e-04	3.105e-03	1.546e-03
2.5	3.0	8.846e-03	2.746e-04	7.946e-04	4.032e-04
3.0	3.5	2.389e-03	9.391e-05	2.128e-04	1.134e-04
3.5	4.0	7.500e-04	2.448e-05	6.741e-05	3.758e-05
4.0	4.5	3.045e-04	1.134e-05	2.750e-05	1.583e-05
4.5	5.0	1.237e-04	6.511e-06	1.136e-05	6.536e-06
5.0	5.5	4.870e-05	3.557e-06	4.696e-06	2.585e-06
5.5	6.0	2.208e-05	2.154e-06	2.337e-06	1.189e-06
6.0	6.5	1.265e-05	1.442e-06	1.396e-06	6.647e-07
6.5	7.0	7.905e-06	1.091e-06	9.730e-07	4.115e-07
7.0	7.5	3.566e-06	6.756e-07	5.302e-07	1.758e-07
7.5	8.0	2.771e-06	5.636e-07	4.458e-07	1.513e-07
8.0	8.5	1.299e-06	3.748e-07	4.108e-07	6.492e-08
