pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1.0	1.5	2.439e+00	6.181e-02	2.161e-01	9.330e-02
1.5	2.0	4.731e-01	9.445e-03	4.185e-02	1.992e-02
2.0	2.5	9.716e-02	2.497e-03	8.602e-03	4.372e-03
2.5	3.0	2.194e-02	7.971e-04	2.001e-03	1.018e-03
3.0	3.5	5.748e-03	2.679e-04	5.457e-04	2.699e-04
3.5	4.0	1.885e-03	5.764e-05	1.851e-04	9.414e-05
4.0	4.5	6.468e-04	2.532e-05	6.017e-05	3.447e-05
4.5	5.0	2.838e-04	1.271e-05	2.582e-05	1.561e-05
5.0	5.5	1.215e-04	6.697e-06	1.141e-05	6.825e-06
5.5	6.0	4.668e-05	3.785e-06	4.752e-06	2.573e-06
6.0	6.5	2.509e-05	2.318e-06	2.629e-06	1.457e-06
6.5	7.0	1.043e-05	1.477e-06	1.307e-06	5.162e-07
7.0	7.5	7.087e-06	1.187e-06	9.602e-07	3.183e-07
7.5	8.0	5.484e-06	9.132e-07	7.274e-07	2.688e-07
8.0	8.5	3.541e-06	6.102e-07	7.636e-07	1.770e-07
8.5	9.0	1.675e-06	4.092e-07	4.632e-07	8.376e-08
9.0	9.5	1.522e-06	3.847e-07	4.324e-07	7.612e-08
9.5	10.0	7.396e-07	2.569e-07	2.742e-07	3.698e-08
