pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1.0	1.5	7.976e-02	1.230e-03	7.041e-03	3.144e-03
1.5	2.0	1.459e-02	2.095e-04	1.279e-03	6.220e-04
2.0	2.5	3.249e-03	5.760e-05	2.856e-04	1.478e-04
2.5	3.0	8.160e-04	2.230e-05	7.322e-05	3.869e-05
3.0	3.5	2.521e-04	9.192e-06	2.269e-05	1.240e-05
3.5	4.0	8.682e-05	3.191e-06	7.817e-06	4.489e-06
4.0	4.5	3.396e-05	1.827e-06	3.128e-06	1.786e-06
4.5	5.0	1.267e-05	1.058e-06	1.248e-06	6.493e-07
5.0	5.5	6.049e-06	6.961e-07	6.550e-07	2.929e-07
5.5	6.0	3.047e-06	4.061e-07	3.653e-07	1.569e-07
6.0	6.5	1.648e-06	2.672e-07	2.252e-07	8.742e-08
6.5	7.0	7.534e-07	1.754e-07	1.314e-07	3.324e-08
7.0	7.5	2.726e-07	9.614e-08	7.167e-08	1.681e-08
7.5	8.0	1.513e-07	7.561e-08	7.811e-08	7.561e-09
