pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1.0	1.5	1.443e-01	3.200e-03	1.277e-02	5.481e-03
1.5	2.0	2.703e-02	5.716e-04	2.373e-03	1.099e-03
2.0	2.5	6.085e-03	1.380e-04	5.383e-04	2.616e-04
2.5	3.0	1.476e-03	5.477e-05	1.353e-04	6.539e-05
3.0	3.5	4.607e-04	2.118e-05	4.327e-05	2.090e-05
3.5	4.0	1.588e-04	7.586e-06	1.453e-05	7.646e-06
4.0	4.5	6.435e-05	4.391e-06	6.107e-06	3.119e-06
4.5	5.0	2.292e-05	2.557e-06	2.646e-06	1.001e-06
5.0	5.5	1.062e-05	1.417e-06	1.258e-06	4.915e-07
5.5	6.0	6.851e-06	1.028e-06	8.904e-07	3.376e-07
6.0	6.5	3.069e-06	6.188e-07	4.915e-07	1.516e-07
6.5	7.0	1.992e-06	4.969e-07	5.600e-07	9.962e-08
