pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1.0	1.5	3.014e-01	6.072e-03	2.687e-02	1.153e-02
1.5	2.0	5.530e-02	1.069e-03	4.872e-03	2.274e-03
2.0	2.5	1.190e-02	2.814e-04	1.050e-03	5.178e-04
2.5	3.0	2.965e-03	9.941e-05	2.675e-04	1.336e-04
3.0	3.5	9.206e-04	3.686e-05	8.186e-05	4.308e-05
3.5	4.0	3.197e-04	1.175e-05	2.876e-05	1.568e-05
4.0	4.5	1.138e-04	5.948e-06	1.057e-05	5.682e-06
4.5	5.0	4.786e-05	3.630e-06	4.627e-06	2.362e-06
5.0	5.5	1.943e-05	2.047e-06	2.059e-06	9.426e-07
5.5	6.0	1.086e-05	1.709e-06	1.352e-06	4.314e-07
6.0	6.5	4.274e-06	7.746e-07	6.403e-07	2.209e-07
6.5	7.0	2.982e-06	6.676e-07	7.715e-07	1.491e-07
7.0	7.5	8.629e-07	3.262e-07	3.447e-07	4.314e-08
7.5	8.0	6.868e-07	2.804e-07	2.942e-07	3.434e-08
