# dphi_low dphi_high 1/Ntrig dY
0.000000 0.261799 0.0397 0.0015
0.261799 0.523599 0.0253 0.0015
0.523599 0.785398 0.0102 0.0017
0.785398 1.047198 0.0013 0.0019
1.047198 1.308997 4e-4 0.0022
1.308997 1.570796 0.0051 0.0025
1.570796 1.832596 0.0186 0.0022
1.832596 2.094395 0.0212 0.0020
2.094395 2.356194 0.0186 0.0019
2.356194 2.617994 0.0171 0.0018
2.617994 2.879793 0.0116 0.0018
2.879793 3.141593 0.0089 0.0018
