# dphi_low dphi_high 1/Ntrig dY
0.000000 0.261799 0.040 0.004
0.261799 0.523599 0.034 0.004
0.523599 0.785398 0.006 0.004
0.785398 1.047198 0.001 0.005
1.047198 1.308997 0.013 0.006
1.308997 1.570796 0.026 0.007
1.570796 1.832596 0.036 0.006
1.832596 2.094395 0.042 0.005
2.094395 2.356194 0.051 0.005
2.356194 2.617994 0.043 0.005
2.617994 2.879793 0.045 0.005
2.879793 3.141593 0.028 0.004
