# dphi_low dphi_high 1/Ntrig dY
0.000000 0.261799 0.0294 0.0031
0.261799 0.523599 0.0270 0.0033
0.523599 0.785398 0.0114 0.0035
0.785398 1.047198 -0.003 0.004
1.047198 1.308997 0.007 0.005
1.308997 1.570796 0.013 0.005
1.570796 1.832596 0.020 0.005
1.832596 2.094395 0.034 0.004
2.094395 2.356194 0.033 0.004
2.356194 2.617994 0.035 0.004
2.617994 2.879793 0.032 0.004
2.879793 3.141593 0.024 0.004
