  pt       v2         errv2      syslow     syshigh 
  0.247    0.02194    0.00061    0.00506    0.00506
  0.348    0.02987    0.00070    0.00264    0.00264
  0.448    0.03696    0.00078    0.00283    0.00283
  0.548    0.04342    0.00088    0.00348    0.00348
  0.648    0.05052    0.00098    0.00269    0.00269
  0.748    0.05556    0.00110    0.00236    0.00236
  0.848    0.06572    0.00125    0.00224    0.00224
  0.948    0.07064    0.00141    0.00213    0.00213
  1.092    0.07773    0.00122    0.00207    0.00207
  1.292    0.09169    0.00155    0.00202    0.00202
  1.492    0.10236    0.00204    0.00227    0.00227
  1.692    0.11847    0.00275    0.00238    0.00238
  1.892    0.13255    0.00365    0.00308    0.00308
  2.200    0.13748    0.00363    0.00270    0.00270
  2.703    0.15166    0.00640    0.00313    0.00313
  3.343    0.14679    0.00945    0.00322    0.00322
  4.381    0.14874    0.02444    0.00505    0.00505
  5.410    0.02580    0.05846    0.00160    0.00160
