  pt_low    pt_high   v2 errv2 syslow syshigh
  0.200     0.300     0.02194 0.001 0.005 0.005
  0.300     0.400     0.02987 7e-4 0.0026 0.0026
  0.400     0.500     0.03696 8e-4 0.0028 0.0028
  0.500     0.600     0.04342 9e-4 0.0035 0.0035
  0.600     0.700     0.05052 0.0010 0.0027 0.0027
  0.700     0.800     0.05556 0.0011 0.0024 0.0024
  0.800     0.900     0.06572 0.0013 0.0022 0.0022
  0.900     1.000     0.07064 0.0014 0.0021 0.0021
  1.000     1.200     0.07773 0.0012 0.0021 0.0021
  1.200     1.400     0.09169 0.0016 0.0020 0.0020
  1.400     1.600     0.10236 0.0020 0.0023 0.0023
  1.600     1.800     0.11847 0.0028 0.0024 0.0024
  1.800     2.000     0.13255 0.0037 0.0031 0.0031
  2.000     2.400     0.13748 0.0036 0.0027 0.0027
  2.400     3.000     0.15166 0.0064 0.0031 0.0031
  3.000     3.700     0.14679 0.0095 0.0032 0.0032
  3.700     5.000     0.14874 0.024 0.005 0.005
  5.000     6.500     0.02580 0.0585 0.0016 0.0016
