  pt_low    pt_high   v2 errv2 syslow syshigh
  0.200     0.300     0.02694 0.000 0.023 0.023
  0.300     0.400     0.04133 5e-4 0.0034 0.0034
  0.400     0.500     0.05500 6e-4 0.0027 0.0027
  0.500     0.600     0.06605 6e-4 0.0020 0.0020
  0.600     0.700     0.07744 7e-4 0.0017 0.0017
  0.700     0.800     0.08648 8e-4 0.0019 0.0019
  0.800     0.900     0.09719 9e-4 0.0017 0.0017
  0.900     1.000     0.10647 0.0010 0.0015 0.0015
  1.000     1.200     0.12033 9e-4 0.0017 0.0017
  1.200     1.400     0.13425 0.0012 0.0016 0.0016
  1.400     1.600     0.15041 0.0015 0.0021 0.0021
  1.600     1.800     0.16789 0.0020 0.0022 0.0022
  1.800     2.000     0.18310 0.0027 0.0026 0.0026
  2.000     2.400     0.18792 0.0026 0.0026 0.0026
  2.400     3.000     0.19298 0.0046 0.0028 0.0028
  3.000     3.700     0.19902 0.0069 0.0028 0.0028
  3.700     5.000     0.15951 0.018 0.005 0.005
  5.000     6.500     0.03318 0.0418 0.0026 0.0026
