# pt  v2 errv2 syslow syshigh
0.247 0.02694 0.000 0.023 0.023
0.348 0.04133 5e-4 0.0034 0.0034
0.448 0.05500 6e-4 0.0027 0.0027
0.548 0.06605 6e-4 0.0020 0.0020
0.648 0.07744 7e-4 0.0017 0.0017
0.748 0.08648 8e-4 0.0019 0.0019
0.848 0.09719 9e-4 0.0017 0.0017
0.948 0.10647 0.0010 0.0015 0.0015
1.092 0.12033 9e-4 0.0017 0.0017
1.292 0.13425 0.0012 0.0016 0.0016
1.492 0.15041 0.0015 0.0021 0.0021
1.692 0.16789 0.0020 0.0022 0.0022
1.892 0.18310 0.0027 0.0026 0.0026
2.200 0.18792 0.0026 0.0026 0.0026
2.703 0.19298 0.0046 0.0028 0.0028
3.343 0.19902 0.0069 0.0028 0.0028
4.381 0.15951 0.018 0.005 0.005
5.410 0.03318 0.0418 0.0026 0.0026
