  pt_low    pt_high   v2 errv2 syslow syshigh
  0.200     0.300     0.01342 0.001 0.010 0.010
  0.300     0.400     0.01488 0.0013 0.0013 0.0013
  0.400     0.500     0.01231 0.0013 0.0012 0.0012
  0.500     0.600     0.02085 0.0017 0.0019 0.0019
  0.600     0.700     0.01557 0.0017 0.0011 0.0011
  0.700     0.800     0.02236 0.0020 0.0013 0.0013
  0.800     0.900     0.02656 0.0023 0.0012 0.0012
  0.900     1.000     0.03014 0.0027 0.0012 0.0012
  1.000     1.200     0.04275 0.0027 0.0015 0.0015
  1.200     1.400     0.03826 0.0030 0.0011 0.0011
  1.400     1.600     0.03859 0.0037 9e-4 9e-4
  1.600     1.800     0.04492 0.0048 0.0012 0.0012
  1.800     2.000     0.06318 0.0065 0.0017 0.0017
  2.000     2.400     0.06910 0.0067 0.0017 0.0017
  2.400     3.000     0.07798 0.0112 0.0022 0.0022
  3.000     3.700     0.07481 0.0167 0.0029 0.0029
