  pt       v2         errv2    syslow     syshigh 
  0.247    0.02532    0.00025    0.01862    0.01862
  0.348    0.04002    0.00029    0.00345    0.00345
  0.448    0.05165    0.00032    0.00238    0.00238
  0.548    0.06296    0.00036    0.00206    0.00206
  0.648    0.07433    0.00041    0.00180    0.00180
  0.748    0.08377    0.00046    0.00167    0.00167
  0.848    0.09429    0.00052    0.00183    0.00183
  0.948    0.10365    0.00059    0.00155    0.00155
  1.092    0.11617    0.00053    0.00162    0.00162
  1.292    0.13006    0.00066    0.00165    0.00165
  1.492    0.14367    0.00086    0.00203    0.00203
  1.692    0.15763    0.00115    0.00213    0.00213
  1.892    0.17281    0.00151    0.00240    0.00240
  2.200    0.18031    0.00149    0.00244    0.00244
  2.703    0.18983    0.00263    0.00251    0.00251
  3.343    0.18147    0.00393    0.00266    0.00266
  4.381    0.16102    0.01018    0.00367    0.00367
  5.410    0.14043    0.02402    0.00637    0.00637
  6.852    0.12310    0.04849    0.01532    0.01532
