# pt  v2 errv2 syslow syshigh
0.247 0.01342 0.001 0.010 0.010
0.348 0.01488 0.0013 0.0013 0.0013
0.448 0.01231 0.0013 0.0012 0.0012
0.548 0.02085 0.0017 0.0019 0.0019
0.648 0.01557 0.0017 0.0011 0.0011
0.748 0.02236 0.0020 0.0013 0.0013
0.848 0.02656 0.0023 0.0012 0.0012
0.948 0.03014 0.0027 0.0012 0.0012
1.092 0.04275 0.0027 0.0015 0.0015
1.292 0.03826 0.0030 0.0011 0.0011
1.492 0.03859 0.0037 9e-4 9e-4
1.692 0.04492 0.0048 0.0012 0.0012
1.892 0.06318 0.0065 0.0017 0.0017
2.200 0.06910 0.0067 0.0017 0.0017
2.703 0.07798 0.0112 0.0022 0.0022
3.343 0.07481 0.0167 0.0029 0.0029
