  pt       v2         errv2    syslow     syshigh 
  0.247    0.02164    0.00071    0.01582    0.01582
  0.348    0.03766    0.00077    0.00336    0.00336
  0.448    0.05159    0.00087    0.00244    0.00244
  0.548    0.06277    0.00098    0.00158    0.00158
  0.648    0.07471    0.00111    0.00131    0.00131
  0.748    0.08320    0.00125    0.00122    0.00122
  0.848    0.09675    0.00143    0.00170    0.00170
  0.948    0.10720    0.00163    0.00119    0.00119
  1.092    0.11901    0.00146    0.00138    0.00138
  1.292    0.12717    0.00184    0.00161    0.00161
  1.492    0.14188    0.00243    0.00206    0.00206
  1.692    0.15811    0.00331    0.00236    0.00236
  1.892    0.15997    0.00439    0.00298    0.00298
  2.200    0.16724    0.00431    0.00313    0.00313
  2.703    0.18027    0.00776    0.00363    0.00363
  3.343    0.13888    0.01139    0.00332    0.00332
  4.381    0.12204    0.02867    0.01657    0.01657
