  pt       v2         errv2      syslow     syshigh 
  0.247    0.01342    0.00114    0.00972    0.00972
  0.348    0.01488    0.00131    0.00130    0.00130
  0.448    0.01231    0.00133    0.00123    0.00123
  0.548    0.02085    0.00170    0.00187    0.00187
  0.648    0.01557    0.00166    0.00112    0.00112
  0.748    0.02236    0.00203    0.00129    0.00129
  0.848    0.02656    0.00233    0.00116    0.00116
  0.948    0.03014    0.00265    0.00121    0.00121
  1.092    0.04275    0.00268    0.00145    0.00145
  1.292    0.03826    0.00304    0.00110    0.00110
  1.492    0.03859    0.00367    0.00091    0.00091
  1.692    0.04492    0.00476    0.00120    0.00120
  1.892    0.06318    0.00654    0.00167    0.00167
  2.200    0.06910    0.00672    0.00168    0.00168
  2.703    0.07798    0.01123    0.00224    0.00224
  3.343    0.07481    0.01667    0.00294    0.00294
