# pt  v2 errv2 syslow syshigh
0.247 0.02194 0.001 0.005 0.005
0.348 0.02987 7e-4 0.0026 0.0026
0.448 0.03696 8e-4 0.0028 0.0028
0.548 0.04342 9e-4 0.0035 0.0035
0.648 0.05052 0.0010 0.0027 0.0027
0.748 0.05556 0.0011 0.0024 0.0024
0.848 0.06572 0.0013 0.0022 0.0022
0.948 0.07064 0.0014 0.0021 0.0021
1.092 0.07773 0.0012 0.0021 0.0021
1.292 0.09169 0.0016 0.0020 0.0020
1.492 0.10236 0.0020 0.0023 0.0023
1.692 0.11847 0.0028 0.0024 0.0024
1.892 0.13255 0.0037 0.0031 0.0031
2.200 0.13748 0.0036 0.0027 0.0027
2.703 0.15166 0.0064 0.0031 0.0031
3.343 0.14679 0.0095 0.0032 0.0032
4.381 0.14874 0.024 0.005 0.005
5.410 0.02580 0.0585 0.0016 0.0016
