  pt       v2         errv2    syslow     syshigh 
  0.247    0.02694    0.00045    0.02294    0.02294
  0.348    0.04133    0.00050    0.00342    0.00342
  0.448    0.05500    0.00057    0.00272    0.00272
  0.548    0.06605    0.00064    0.00199    0.00199
  0.648    0.07744    0.00073    0.00168    0.00168
  0.748    0.08648    0.00082    0.00187    0.00187
  0.848    0.09719    0.00092    0.00173    0.00173
  0.948    0.10647    0.00104    0.00151    0.00151
  1.092    0.12033    0.00093    0.00174    0.00174
  1.292    0.13425    0.00117    0.00156    0.00156
  1.492    0.15041    0.00152    0.00212    0.00212
  1.692    0.16789    0.00203    0.00222    0.00222
  1.892    0.18310    0.00266    0.00258    0.00258
  2.200    0.18792    0.00263    0.00257    0.00257
  2.703    0.19298    0.00458    0.00278    0.00278
  3.343    0.19902    0.00685    0.00278    0.00278
  4.381    0.15951    0.01765    0.00503    0.00503
  5.410    0.03318    0.04176    0.00257    0.00257
