  pt       v2         errv2    syslow     syshigh 
  0.247    0.02479    0.00045    0.01422    0.01422
  0.348    0.03843    0.00052    0.00350    0.00350
  0.448    0.04673    0.00058    0.00280    0.00280
  0.548    0.05726    0.00065    0.00275    0.00275
  0.648    0.06796    0.00073    0.00256    0.00256
  0.748    0.07649    0.00082    0.00206    0.00206
  0.848    0.08664    0.00093    0.00216    0.00216
  0.948    0.09430    0.00105    0.00199    0.00199
  1.092    0.10554    0.00093    0.00203    0.00203
  1.292    0.12012    0.00118    0.00201    0.00201
  1.492    0.13329    0.00153    0.00230    0.00230
  1.692    0.14589    0.00202    0.00241    0.00241
  1.892    0.16194    0.00265    0.00267    0.00267
  2.200    0.17353    0.00265    0.00284    0.00284
  2.703    0.18631    0.00458    0.00337    0.00337
  3.343    0.18180    0.00683    0.00344    0.00344
  4.381    0.17827    0.01783    0.00533    0.00533
  5.410    0.16731    0.04246    0.01121    0.01121
