# pt  v2 errv2 syslow syshigh
0.247 0.02532 0.000 0.019 0.019
0.348 0.04002 3e-4 0.0035 0.0035
0.448 0.05165 3e-4 0.0024 0.0024
0.548 0.06296 4e-4 0.0021 0.0021
0.648 0.07433 4e-4 0.0018 0.0018
0.748 0.08377 5e-4 0.0017 0.0017
0.848 0.09429 5e-4 0.0018 0.0018
0.948 0.10365 6e-4 0.0016 0.0016
1.092 0.11617 5e-4 0.0016 0.0016
1.292 0.13006 7e-4 0.0017 0.0017
1.492 0.14367 9e-4 0.0020 0.0020
1.692 0.15763 0.0012 0.0021 0.0021
1.892 0.17281 0.0015 0.0024 0.0024
2.200 0.18031 0.0015 0.0024 0.0024
2.703 0.18983 0.0026 0.0025 0.0025
3.343 0.18147 0.0039 0.0027 0.0027
4.381 0.16102 0.010 0.004 0.004
5.410 0.14043 0.024 0.006 0.006
6.852 0.12310 0.048 0.015 0.015
