  pt       v2         errv2    syslow     syshigh 
  0.247    0.02601    0.00054    0.02295    0.02295
  0.348    0.04210    0.00060    0.00344    0.00344
  0.448    0.05541    0.00067    0.00216    0.00216
  0.548    0.06853    0.00076    0.00174    0.00174
  0.648    0.08077    0.00086    0.00146    0.00146
  0.748    0.09316    0.00097    0.00149    0.00149
  0.848    0.10257    0.00110    0.00155    0.00155
  0.948    0.11494    0.00125    0.00135    0.00135
  1.092    0.12842    0.00112    0.00133    0.00133
  1.292    0.14455    0.00141    0.00158    0.00158
  1.492    0.15539    0.00183    0.00184    0.00184
  1.692    0.16641    0.00245    0.00209    0.00209
  1.892    0.18706    0.00325    0.00241    0.00241
  2.200    0.19007    0.00319    0.00240    0.00240
  2.703    0.19675    0.00563    0.00265    0.00265
  3.343    0.17518    0.00833    0.00297    0.00297
  4.381    0.15207    0.02120    0.00430    0.00430
  5.410    0.23778    0.04958    0.01545    0.01545
