  pt_low    pt_high   v2 errv2 syslow syshigh
  0.200     0.300     0.02479 0.000 0.014 0.014
  0.300     0.400     0.03843 5e-4 0.0035 0.0035
  0.400     0.500     0.04673 6e-4 0.0028 0.0028
  0.500     0.600     0.05726 7e-4 0.0028 0.0028
  0.600     0.700     0.06796 7e-4 0.0026 0.0026
  0.700     0.800     0.07649 8e-4 0.0021 0.0021
  0.800     0.900     0.08664 9e-4 0.0022 0.0022
  0.900     1.000     0.09430 0.0011 0.0020 0.0020
  1.000     1.200     0.10554 9e-4 0.0020 0.0020
  1.200     1.400     0.12012 0.0012 0.0020 0.0020
  1.400     1.600     0.13329 0.0015 0.0023 0.0023
  1.600     1.800     0.14589 0.0020 0.0024 0.0024
  1.800     2.000     0.16194 0.0027 0.0027 0.0027
  2.000     2.400     0.17353 0.0027 0.0028 0.0028
  2.400     3.000     0.18631 0.0046 0.0034 0.0034
  3.000     3.700     0.18180 0.0068 0.0034 0.0034
  3.700     5.000     0.17827 0.018 0.005 0.005
  5.000     6.500     0.16731 0.042 0.011 0.011
