low	high	R_dAu	stat.	sys.
0.6	0.7	0.690077	0.0062744	0.0223509
0.7	0.8	0.70366	0.00733775	0.0227232
0.8	0.9	0.739555	0.00884515	0.0239142
0.9	1	0.795036	0.010661	0.0256236
1	1.1	0.82775	0.0125984	0.0267918
1.1	1.2	0.878097	0.0152639	0.0282952
1.2	1.3	0.912915	0.0180157	0.0296391
1.3	1.4	0.977474	0.0216614	0.0316037
1.4	1.5	0.973495	0.024478	0.0314392
1.5	1.6	0.982233	0.0280114	0.0317161
1.6	1.7	1.06433	0.0341369	0.0342374
1.7	1.8	1.09496	0.0392091	0.0356245
1.8	1.9	1.19045	0.0470944	0.0383261
1.9	2	1.13673	0.0515978	0.037008
2	2.1	1.18154	0.0590109	0.0385882
2.1	2.2	1.15036	0.0646357	0.0378404
2.2	2.3	1.26961	0.0803855	0.0409678
2.3	2.4	1.34408	0.0915188	0.0436554
2.4	2.5	1.25851	0.0991259	0.0403648
2.5	2.6	1.23693	0.113774	0.0399638
2.6	2.7	1.1996	0.11828	0.0405794
2.7	2.8	1.31967	0.139954	0.0429056
2.8	2.9	1.28159	0.156335	0.041523
2.9	3	1.46915	0.195643	0.0478216
3	3.2	1.08139	0.12701	0.0369069
3.2	3.4	1.39721	0.190992	0.0497627
3.4	3.6	1.28712	0.212343	0.0411878
3.6	3.8	1.14843	0.238776	0.0367499
3.8	4	1.37501	0.295115	0.0948847
4	4.25	1.55848	0.335489	0.0498714
