low	high	R_dAu	stat.	sys.
0.6	0.7	0.789258	0.00509132	0.0254604
0.7	0.8	0.808637	0.00602416	0.0260523
0.8	0.9	0.841868	0.0070968	0.0270995
0.9	1	0.867761	0.00838764	0.0279323
1	1.1	0.890861	0.00990076	0.0287154
1.1	1.2	0.925131	0.0116925	0.0298043
1.2	1.3	0.980847	0.0141994	0.031591
1.3	1.4	0.999575	0.01633	0.0322057
1.4	1.5	0.972649	0.0178372	0.0315742
1.5	1.6	0.986224	0.020458	0.0318143
1.6	1.7	1.05211	0.0251232	0.0339306
1.7	1.8	1.08776	0.028779	0.0350218
1.8	1.9	1.13362	0.0340671	0.0365287
1.9	2	1.12334	0.0382628	0.0361073
2	2.1	1.07939	0.0398	0.0352358
2.1	2.2	1.1222	0.0483717	0.0361317
2.2	2.3	1.22412	0.0574636	0.0393754
2.3	2.4	1.12575	0.0604368	0.0366477
2.4	2.5	1.17391	0.0684608	0.0377861
2.5	2.6	1.20983	0.0822225	0.0390275
2.6	2.7	1.15288	0.0858642	0.037513
2.7	2.8	1.18701	0.0936187	0.0387685
2.8	2.9	1.24505	0.111097	0.0402015
2.9	3	1.32869	0.128636	0.0431128
3	3.2	1.13337	0.0929837	0.0370695
3.2	3.4	1.34279	0.133024	0.0433854
3.4	3.6	1.1811	0.14162	0.0398204
3.6	3.8	1.20799	0.195412	0.040742
3.8	4	1.06637	0.179409	0.0391943
4	4.25	1.1307	0.183295	0.0374807
4.25	4.5	0.992124	0.264435	0.059821
4.5	5	1.28073	0.615085	0.100026
5	5.5	0.822125	0.254843	0.0674211
5.5	7	0.901841	0.572468	0.266529
