low	high	R_dAu	stat.	sys.
0.6	0.7	0.993096	0.00474917	0.0319289
0.7	0.8	0.978725	0.00546248	0.0314561
0.8	0.9	1.00051	0.00651338	0.0321327
0.9	1	1.00121	0.00757297	0.0321559
1	1.1	0.987088	0.00870146	0.0316996
1.1	1.2	1.01288	0.0103469	0.032556
1.2	1.3	1.01937	0.012033	0.0327357
1.3	1.4	1.05945	0.014254	0.0340469
1.4	1.5	1.02558	0.0158703	0.0329384
1.5	1.6	1.01827	0.0179921	0.0327252
1.6	1.7	1.09211	0.0218384	0.0351275
1.7	1.8	1.06432	0.0243412	0.0341731
1.8	1.9	1.08768	0.0282715	0.0348975
1.9	2	1.08951	0.0318868	0.0349922
2	2.1	1.07779	0.0355128	0.0346353
2.1	2.2	1.04625	0.0387974	0.0335923
2.2	2.3	1.15999	0.0482268	0.037488
2.3	2.4	1.12949	0.0525495	0.0365928
2.4	2.5	1.14161	0.0594294	0.0366808
2.5	2.6	1.14219	0.0687711	0.0368207
2.6	2.7	1.23469	0.0770006	0.0399944
2.7	2.8	1.1421	0.081398	0.0368498
2.8	2.9	1.12363	0.0913091	0.0362613
2.9	3	1.27469	0.113985	0.0417487
3	3.2	0.961507	0.0731075	0.0315778
3.2	3.4	1.4554	0.122977	0.0493938
3.4	3.6	1.11287	0.12417	0.0366236
3.6	3.8	1.33119	0.165392	0.0450666
3.8	4	1.19356	0.180931	0.0406663
4	4.25	0.992056	0.162976	0.0438778
4.25	4.5	1.00279	0.22399	0.0382028
4.5	5	1.45538	0.427658	0.0969678
5	5.5	1.64731	0.399221	0.070623
5.5	7	0.622093	0.326998	0.194354
