low	high	R_dAu	stat.	sys.
0.6	0.7	0.711235	0.00396386	0.0253002
0.7	0.8	0.717098	0.00459004	0.025495
0.8	0.9	0.785053	0.00581208	0.0273604
0.9	1	0.806451	0.00684636	0.0281962
1	1.1	0.818686	0.00796431	0.0285968
1.1	1.2	0.879786	0.00987447	0.0307616
1.2	1.3	0.900725	0.0114367	0.0314362
1.3	1.4	0.95919	0.0139786	0.0335319
1.4	1.5	0.98275	0.0164079	0.0344796
1.5	1.6	1.00405	0.0190178	0.0342215
1.6	1.7	1.02855	0.0220976	0.03518
1.7	1.8	1.08522	0.0260888	0.0377201
1.8	1.9	1.10029	0.0297987	0.0396431
1.9	2	1.0818	0.03323	0.0392443
2	2.1	1.18363	0.0411628	0.0423697
2.1	2.2	1.05591	0.0404867	0.0359855
2.2	2.3	1.24086	0.0537137	0.0472281
2.3	2.4	1.13885	0.0560875	0.0437081
2.4	2.5	1.23225	0.0671485	0.0441229
2.5	2.6	1.22871	0.0766786	0.0442526
2.6	2.7	1.1585	0.0789417	0.0405932
2.7	2.8	1.27042	0.0944811	0.0548323
2.8	2.9	1.28918	0.107453	0.0488687
2.9	3	1.5275	0.143946	0.0600095
3	3.2	1.10029	0.0857292	0.0480984
3.2	3.4	1.34015	0.127356	0.0811089
3.4	3.6	1.15221	0.144367	0.0420236
3.6	3.8	1.06614	0.165277	0.071911
3.8	4	1.3133	0.222983	0.0877569
4	4.25	1.524	0.259716	0.0697258
4.25	4.5	1.413	0.329939	0.0560953
4.5	5	0.932817	0.656844	0.545354
5	5.5	0.638146	0.35875	0.302734
