# low high R_dAu stat. sys.
0.6 0.7 0.690 0.006 0.022
0.7 0.8 0.704 0.007 0.023
0.8 0.9 0.740 0.009 0.024
0.9 1 0.795 0.011 0.026
1 1.1 0.828 0.013 0.027
1.1 1.2 0.878 0.015 0.028
1.2 1.3 0.913 0.018 0.030
1.3 1.4 0.977 0.022 0.032
1.4 1.5 0.973 0.024 0.031
1.5 1.6 0.982 0.028 0.032
1.6 1.7 1.064 0.034 0.034
1.7 1.8 1.09 0.04 0.04
1.8 1.9 1.19 0.05 0.04
1.9 2 1.14 0.05 0.04
2 2.1 1.18 0.06 0.04
2.1 2.2 1.15 0.06 0.04
2.2 2.3 1.27 0.08 0.04
2.3 2.4 1.34 0.09 0.04
2.4 2.5 1.26 0.10 0.04
2.5 2.6 1.24 0.11 0.04
2.6 2.7 1.20 0.12 0.04
2.7 2.8 1.32 0.14 0.04
2.8 2.9 1.28 0.16 0.04
2.9 3 1.47 0.20 0.05
3 3.2 1.08 0.13 0.04
3.2 3.4 1.40 0.19 0.05
3.4 3.6 1.29 0.21 0.04
3.6 3.8 1.15 0.24 0.04
3.8 4 1.38 0.30 0.09
4 4.25 1.56 0.34 0.05
