# pt v2 errv2 syslow syshigh
0.249 0.01127 2e-4 0.0016 0.0016
0.349 0.03713 0.000 0.005 0.005
0.448 0.05370 0.000 0.007 0.007
0.548 0.06252 0.000 0.009 0.009
0.648 0.07147 0.000 0.010 0.010
0.748 0.08144 0.000 0.011 0.011
0.848 0.09118 0.000 0.013 0.013
0.948 0.10071 0.001 0.014 0.014
1.092 0.11227 0.000 0.015 0.015
1.291 0.12982 0.001 0.018 0.018
1.489 0.14786 0.001 0.020 0.020
1.689 0.16113 0.001 0.022 0.022
1.891 0.17515 0.001 0.024 0.024
2.196 0.19364 0.001 0.027 0.027
2.699 0.20931 0.003 0.029 0.029
3.333 0.20299 0.004 0.028 0.028
4.356 0.19729 0.012 0.027 0.027
5.383 0.18635 0.026 0.026 0.026
6.611 0.15079 0.048 0.021 0.021
