  pt       v2         errv2          syslow   syshigh
  0.246    0.00778    0.00011        0.00103	0.00103    
  0.349    0.03793    0.00016        0.00500	0.00500    
  0.448    0.05476    0.00020        0.00722	0.00722    
  0.548    0.06374    0.00023        0.00841	0.00841    
  0.648    0.07303    0.00026        0.00963	0.00963    
  0.748    0.08283    0.00030        0.01093	0.01093    
  0.848    0.09301    0.00034        0.01227	0.01227    
  0.948    0.10247    0.00039        0.01352	0.01352    
  1.091    0.11444    0.00034        0.01510	0.01510    
  1.290    0.13201    0.00044        0.01741	0.01741    
  1.489    0.14884    0.00058        0.01963	0.01963    
  1.689    0.16226    0.00080        0.02140	0.02140    
  1.890    0.17456    0.00108        0.02303	0.02303    
  2.198    0.19027    0.00106        0.02510	0.02510    
  2.700    0.20415    0.00201        0.02693	0.02693    
  3.348    0.21363    0.00304        0.02818	0.02818    
  4.373    0.19568    0.00653        0.02581	0.02581    
  5.452    0.23823    0.01494        0.03142	0.03142    
  6.734    0.18915    0.02297        0.02495	0.02495   
