# pt v2 errv2 syslow syshigh
0.250 0.00625 3e-4 8e-4 8e-4
0.349 0.04611 0.000 0.006 0.006
0.448 0.06387 0.001 0.008 0.008
0.548 0.07455 0.001 0.010 0.010
0.648 0.08575 0.001 0.011 0.011
0.748 0.09774 0.001 0.013 0.013
0.848 0.11126 0.001 0.015 0.015
0.948 0.11974 0.001 0.016 0.016
1.092 0.13745 0.001 0.018 0.018
1.291 0.15672 0.001 0.021 0.021
1.489 0.17633 0.002 0.023 0.023
1.689 0.19315 0.002 0.025 0.025
1.891 0.20965 0.003 0.028 0.028
2.199 0.21909 0.003 0.029 0.029
2.701 0.23572 0.006 0.031 0.031
3.344 0.24331 0.008 0.032 0.032
4.346 0.26575 0.021 0.035 0.035
5.414 0.24613 0.033 0.032 0.032
6.566 0.17786 0.051 0.023 0.023
