# pT_low pT_high R_AA eR_AA eNorm
1 1.5 0.64 0.07 0.13
1.5 2 0.70 0.08 0.14
2 2.5 0.72 0.08 0.14
2.5 3 0.65 0.08 0.13
3 3.5 0.67 0.09 0.13
3.5 4 0.68 0.10 0.13
4 4.5 0.68 0.09 0.13
4.5 5 0.72 0.11 0.14
5 5.5 0.62 0.11 0.12
5.5 6 0.69 0.15 0.13
6 6.5 0.60 0.14 0.12
6.5 7 0.69 0.21 0.14
7 7.5 0.41 0.18 0.08
7.5 8 0.66 0.31 0.13
