  pt       v2         errv2    syslow     syshigh 
  0.247    0.02523    0.00056    0.01448    0.01448
  0.348    0.03893    0.00061    0.00354    0.00354
  0.448    0.04726    0.00067    0.00282    0.00282
  0.548    0.05785    0.00075    0.00277    0.00277
  0.648    0.06860    0.00084    0.00256    0.00256
  0.748    0.07721    0.00094    0.00204    0.00204
  0.848    0.08745    0.00106    0.00211    0.00211
  0.948    0.09523    0.00120    0.00192    0.00192
  1.092    0.10622    0.00103    0.00190    0.00190
  1.292    0.12107    0.00132    0.00176    0.00176
  1.492    0.13466    0.00176    0.00196    0.00196
  1.692    0.14785    0.00242    0.00193    0.00193
  1.892    0.16454    0.00327    0.00200    0.00200
  2.200    0.17613    0.00322    0.00197    0.00197
  2.703    0.19024    0.00610    0.00243    0.00243
  3.343    0.18612    0.00952    0.00264    0.00264
  4.381    0.18283    0.02570    0.00498    0.00498
  5.410    0.17163    0.06153    0.01133    0.01133
