# pt  v2 errv2 syslow syshigh
0.247 0.02661 0.000 0.020 0.020
0.348 0.04188 0.000 0.004 0.004
0.448 0.05395 4e-4 0.0025 0.0025
0.548 0.06567 5e-4 0.0021 0.0021
0.648 0.07746 5e-4 0.0019 0.0019
0.748 0.08730 6e-4 0.0017 0.0017
0.848 0.09827 7e-4 0.0018 0.0018
0.948 0.10808 7e-4 0.0015 0.0015
1.092 0.12065 6e-4 0.0015 0.0015
1.292 0.13535 8e-4 0.0014 0.0014
1.492 0.14994 0.0011 0.0017 0.0017
1.692 0.16504 0.0015 0.0016 0.0016
1.892 0.18136 0.0020 0.0018 0.0018
2.200 0.18912 0.0020 0.0016 0.0016
2.703 0.19998 0.0038 0.0015 0.0015
3.343 0.19147 0.0058 0.0020 0.0020
4.381 0.17005 0.0152 0.0035 0.0035
5.410 0.14833 0.036 0.007 0.007
6.852 0.13003 0.072 0.016 0.016
