  pt       v2         errv2    syslow     syshigh 
  0.247    0.02529    0.00114    0.01849    0.01849
  0.348    0.04384    0.00120    0.00391    0.00391
  0.448    0.05986    0.00132    0.00282    0.00282
  0.548    0.07273    0.00148    0.00181    0.00181
  0.648    0.08647    0.00166    0.00145    0.00145
  0.748    0.09633    0.00188    0.00132    0.00132
  0.848    0.11196    0.00214    0.00183    0.00183
  0.948    0.12413    0.00244    0.00106    0.00106
  1.092    0.13707    0.00212    0.00117    0.00117
  1.292    0.14709    0.00274    0.00140    0.00140
  1.492    0.16469    0.00370    0.00184    0.00184
  1.692    0.18411    0.00516    0.00199    0.00199
  1.892    0.18679    0.00701    0.00288    0.00288
  2.200    0.19518    0.00684    0.00297    0.00297
  2.703    0.21100    0.01265    0.00345    0.00345
  3.343    0.16274    0.01878    0.00360    0.00360
  4.381    0.14306    0.04745    0.01940    0.01940
