  pt       v2         errv2      syslow     syshigh 
  0.247    0.02145    0.00067    0.00495    0.00495
  0.348    0.02924    0.00074    0.00258    0.00258
  0.448    0.03621    0.00083    0.00277    0.00277
  0.548    0.04255    0.00092    0.00340    0.00340
  0.648    0.04951    0.00103    0.00262    0.00262
  0.748    0.05445    0.00115    0.00229    0.00229
  0.848    0.06442    0.00130    0.00215    0.00215
  0.948    0.06923    0.00148    0.00202    0.00202
  1.092    0.07626    0.00126    0.00194    0.00194
  1.292    0.08993    0.00162    0.00179    0.00179
  1.492    0.10031    0.00214    0.00195    0.00195
  1.692    0.11598    0.00293    0.00184    0.00184
  1.892    0.12960    0.00397    0.00242    0.00242
  2.200    0.13446    0.00393    0.00181    0.00181
  2.703    0.14772    0.00754    0.00197    0.00197
  3.343    0.14255    0.01196    0.00225    0.00225
  4.381    0.14410    0.03301    0.00436    0.00436
  5.410    0.02498    0.08004    0.00155    0.00155
