# pt  v2 errv2 syslow syshigh
0.247 0.02529 0.001 0.018 0.018
0.348 0.04384 0.001 0.004 0.004
0.448 0.05986 0.0013 0.0028 0.0028
0.548 0.07273 0.0015 0.0018 0.0018
0.648 0.08647 0.0017 0.0015 0.0015
0.748 0.09633 0.0019 0.0013 0.0013
0.848 0.11196 0.0021 0.0018 0.0018
0.948 0.12413 0.0024 0.0011 0.0011
1.092 0.13707 0.0021 0.0012 0.0012
1.292 0.14709 0.0027 0.0014 0.0014
1.492 0.16469 0.0037 0.0018 0.0018
1.692 0.18411 0.0052 0.0020 0.0020
1.892 0.18679 0.0070 0.0029 0.0029
2.200 0.19518 0.0068 0.0030 0.0030
2.703 0.21100 0.0127 0.0035 0.0035
3.343 0.16274 0.019 0.004 0.004
4.381 0.14306 0.047 0.019 0.019
