# pt  v2 errv2 syslow syshigh
0.247 0.02819 0.001 0.024 0.024
0.348 0.04305 0.001 0.004 0.004
0.448 0.05713 7e-4 0.0028 0.0028
0.548 0.06852 8e-4 0.0021 0.0021
0.648 0.08028 9e-4 0.0017 0.0017
0.748 0.08966 0.0010 0.0019 0.0019
0.848 0.10077 0.0011 0.0017 0.0017
0.948 0.11046 0.0013 0.0014 0.0014
1.092 0.12430 0.0011 0.0016 0.0016
1.292 0.13898 0.0014 0.0013 0.0013
1.492 0.15615 0.0019 0.0018 0.0018
1.692 0.17486 0.0026 0.0017 0.0017
1.892 0.19124 0.0035 0.0019 0.0019
2.200 0.19616 0.0035 0.0018 0.0018
2.703 0.20250 0.0065 0.0020 0.0020
3.343 0.20918 0.0100 0.0018 0.0018
4.381 0.16787 0.026 0.005 0.005
5.410 0.03492 0.0621 0.0027 0.0027
