# pt  v2 errv2 syslow syshigh
0.247 0.02145 0.001 0.005 0.005
0.348 0.02924 7e-4 0.0026 0.0026
0.448 0.03621 8e-4 0.0028 0.0028
0.548 0.04255 9e-4 0.0034 0.0034
0.648 0.04951 0.0010 0.0026 0.0026
0.748 0.05445 0.0012 0.0023 0.0023
0.848 0.06442 0.0013 0.0022 0.0022
0.948 0.06923 0.0015 0.0020 0.0020
1.092 0.07626 0.0013 0.0019 0.0019
1.292 0.08993 0.0016 0.0018 0.0018
1.492 0.10031 0.0021 0.0020 0.0020
1.692 0.11598 0.0029 0.0018 0.0018
1.892 0.12960 0.0040 0.0024 0.0024
2.200 0.13446 0.0039 0.0018 0.0018
2.703 0.14772 0.0075 0.0020 0.0020
3.343 0.14255 0.0120 0.0023 0.0023
4.381 0.14410 0.033 0.004 0.004
5.410 0.02498 0.0800 0.0016 0.0016
