# pt  v2 errv2 syslow syshigh
0.247 0.02771 0.001 0.024 0.024
0.348 0.04474 0.001 0.004 0.004
0.448 0.05880 9e-4 0.0023 0.0023
0.548 0.07264 0.0010 0.0018 0.0018
0.648 0.08558 0.0011 0.0015 0.0015
0.748 0.09868 0.0013 0.0015 0.0015
0.848 0.10868 0.0014 0.0015 0.0015
0.948 0.12181 0.0016 0.0012 0.0012
1.092 0.13572 0.0014 0.0011 0.0011
1.292 0.15299 0.0018 0.0012 0.0012
1.492 0.16483 0.0024 0.0014 0.0014
1.692 0.17691 0.0033 0.0016 0.0016
1.892 0.19913 0.0045 0.0016 0.0016
2.200 0.20228 0.0044 0.0015 0.0015
2.703 0.20991 0.0082 0.0018 0.0018
3.343 0.18706 0.0124 0.0027 0.0027
4.381 0.16245 0.032 0.004 0.004
5.410 0.25402 0.075 0.016 0.016
