  pt       v2         errv2    syslow     syshigh 
  0.247    0.02819    0.00061    0.02400    0.02400
  0.348    0.04305    0.00065    0.00356    0.00356
  0.448    0.05713    0.00071    0.00282    0.00282
  0.548    0.06852    0.00079    0.00205    0.00205
  0.648    0.08028    0.00089    0.00170    0.00170
  0.748    0.08966    0.00099    0.00189    0.00189
  0.848    0.10077    0.00112    0.00171    0.00171
  0.948    0.11046    0.00128    0.00143    0.00143
  1.092    0.12430    0.00110    0.00160    0.00160
  1.292    0.13898    0.00141    0.00125    0.00125
  1.492    0.15615    0.00188    0.00179    0.00179
  1.692    0.17486    0.00260    0.00166    0.00166
  1.892    0.19124    0.00353    0.00190    0.00190
  2.200    0.19616    0.00346    0.00177    0.00177
  2.703    0.20250    0.00649    0.00198    0.00198
  3.343    0.20918    0.00995    0.00184    0.00184
  4.381    0.16787    0.02619    0.00509    0.00509
  5.410    0.03492    0.06213    0.00270    0.00270
