  pt       v2         errv2      syslow     syshigh 
  0.247    0.01723    0.00158    0.01248    0.01248
  0.348    0.01929    0.00183    0.00169    0.00169
  0.448    0.01688    0.00205    0.00168    0.00168
  0.548    0.02643    0.00230    0.00237    0.00237
  0.648    0.02132    0.00256    0.00153    0.00153
  0.748    0.02928    0.00289    0.00168    0.00168
  0.848    0.03444    0.00326    0.00149    0.00149
  0.948    0.03909    0.00371    0.00154    0.00154
  1.092    0.04922    0.00319    0.00158    0.00158
  1.292    0.04801    0.00405    0.00131    0.00131
  1.492    0.05124    0.00534    0.00111    0.00111
  1.692    0.06137    0.00730    0.00151    0.00151
  1.892    0.08583    0.00992    0.00189    0.00189
  2.200    0.09233    0.00989    0.00167    0.00167
  2.703    0.11270    0.01925    0.00259    0.00259
  3.343    0.11230    0.03125    0.00403    0.00403
